# Historical KBO FA seed.
# Generated from the NamuWiki historical KBO FA page via namu.moe on 2026-05-14.
# This file intentionally follows the compact bundled-seed style: no save-scoped numeric OOTP ids, only stable player_key/team_code fields.
# player_key is an OOTP export key resolved from cbt_player_team_seasons_seed.csv using romanized player name plus team context and manual review for same-name rows.
# compensation_player_key uses the signing team context because compensation players come from the acquiring club.
# Rows whose FA player_key could not be resolved remain excluded and are listed in obj/reports/historical_fa_seed_unmapped.csv.
# team_code uses existing seed codes: LG, HH, SSG, SAM, NC, kt, LOT, KIA, DOO, KIW. Defunct Hyundai/Heroes-era rows are folded into KIW.
# movement: retained, transfer, overseas. case_label is KBO_FA_APPROVED for official historical FA contracts.
# compensation_type: none, player_plus_cash, cash_only, overseas, unknown.
# contract_years uses numeric tokens only; option years are comma-separated, for example 4,2.
# grade is PRE_GRADE_SYSTEM before 2021; 2021+ grades are A/B/C when listed in annual FA qualification tables, or NOT_GRADED for non-graded overseas-return cases.
season,fa_round,player_key,player_name,original_team_code,signing_team_code,movement,case_label,grade,contract_years,total_contract_value_krw_100m,option_value_krw_100m,compensation_type,compensation_player_key,compensation_player_name,requalification_fa_count,status,source_note
2014,2,park--000han,Han-i Park,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,28,0,none,NONE,NONE,2,active,retained_fielder
2014,1,lee---001byu,Byeong-gyu Lee,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,25.5,0,none,NONE,NONE,1,active,retained_fielder
2014,1,kwon--000yon,Yong-gwan Kwon,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,1,0,none,NONE,NONE,1,active,retained_fielder
2014,1,kang--001min,Min-ho Kang,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,75,0,none,NONE,NONE,1,active,retained_fielder
2014,1,han---000san,Sang-hun Han,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,13,2,none,NONE,NONE,1,active,retained_fielder
2014,1,lee---006dae,Dae-su Lee,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,20,2,none,NONE,NONE,1,active,retained_fielder
2015,2,park--002yon,Yong-taek Park,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,50,0,none,NONE,NONE,2,active,retained_fielder
2015,1,lee---003seo,Seong-yeol Lee,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,5,0,none,NONE,NONE,1,active,retained_fielder
2015,1,cho---000don,Dong-chan Cho,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,28,0,none,NONE,NONE,1,active,retained_fielder
2015,1,choi--000jeo,Jeong Choi,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,90,4,none,NONE,NONE,1,active,retained_fielder
2015,1,kim---000gan,Gang-min Kim,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,56,4,none,NONE,NONE,1,active,retained_fielder
2015,1,cho---001don,Dong-hwa Cho,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,22,2,none,NONE,NONE,1,active,retained_fielder
2015,1,na----000ju-,Ju-hwan Na,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"1,1",5.5,0,none,NONE,NONE,1,active,retained_fielder
2015,1,cha---000il-,Il-mok Cha,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,4.5,0,none,NONE,NONE,1,active,retained_fielder
2015,1,kim---000gye,Gyeong-eon Kim,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,8.5,0,none,NONE,NONE,1,active,retained_fielder
2016,1,lee---001bum,Beom-ho Lee,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"3,1",36,0,none,NONE,NONE,1,active,retained_fielder
2016,1,lee---004tae,Taek-geun Lee,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,35,5,none,NONE,NONE,1,active,retained_fielder
2016,2,lee---002seu,Seung-yeop Lee,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,36,0,none,NONE,NONE,2,active,retained_fielder
2016,1,kim---003san,Sang-hyeon Kim,kt,kt,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,17,0,none,NONE,NONE,1,active,retained_fielder
2016,2,kim---001tae,Tae-gyun Kim,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,84,0,none,NONE,NONE,2,active,retained_fielder
2016,2,cho---001in-,In-seong Cho,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,10,0,none,NONE,NONE,2,active,retained_fielder
2016,1,park--001jeo,Jeong-gwon Park,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,30,0,none,NONE,NONE,1,active,retained_fielder
2016,1,park--001jae,Jae-sang Park,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"1,1",5.5,0,none,NONE,NONE,1,active,retained_fielder
2016,1,oh----001jae,Jae-won Oh,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,38,0,none,NONE,NONE,1,active,retained_fielder
2016,1,ko----000yeo,Yeong-min Ko,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"1,1",5,2,none,NONE,NONE,1,active,retained_fielder
2017,1,kim---007jae,Jae-ho Kim,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,50,4,none,NONE,NONE,1,active,retained_fielder
2017,1,na----000ji-,Ji-wan Na,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,40,0,none,NONE,NONE,1,active,retained_fielder
2017,1,lee---000dae,Dae-ho Lee,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,150,50,none,NONE,NONE,1,active,retained_fielder
2018,1,moon--001kyu,Gyu-hyeon Moon,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"2,1",10,0,none,NONE,NONE,1,active,retained_fielder
2018,1,son---000ah-,A-seop Son,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,98,0,none,NONE,NONE,1,active,retained_fielder
2018,1,choi--000jun,Jun-seok Choi,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,0.55,0,none,NONE,NONE,1,active,retained_fielder
2018,1,jeong-000ui-,Ui-yun Jung,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,29,12,none,NONE,NONE,1,active,retained_fielder
2018,1,son---000si-,Si-heon Son,NC,NC,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,15,0,none,NONE,NONE,1,active,retained_fielder
2018,1,chi---000seo,Seok-hun Ji,NC,NC,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,6,0,none,NONE,NONE,1,active,retained_fielder
2018,1,lee---006jon,Jong-uk Lee,NC,NC,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,5,0,none,NONE,NONE,1,active,retained_fielder
2018,1,kim---001ju-,Ju-chan Kim,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"2,1",27,0,none,NONE,NONE,1,active,retained_fielder
2018,1,jeong-000geu,Geun-u Jung,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"2,1",35,2,none,NONE,NONE,1,active,retained_fielder
2018,1,lee---003dae,Dae-hyeong Lee,kt,kt,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,4,2,none,NONE,NONE,1,active,retained_fielder
2018,1,chae--000tae,Tae-in Chae,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,10,2,none,NONE,NONE,1,active,retained_fielder
2019,1,mo----000cha,Chang-min Mo,NC,NC,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,17,3,none,NONE,NONE,1,active,retained_fielder
2019,2,choi--000jeo,Jeong Choi,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,6,106,6,none,NONE,NONE,2,active,retained_fielder
2019,1,lee---005jae,Jae-won Lee,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,69,0,none,NONE,NONE,1,active,retained_fielder
2019,3,park--002yon,Yong-taek Park,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,25,1,none,NONE,NONE,3,active,retained_fielder
2019,1,park--001kyu,Gyeong-su Park,kt,kt,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,26,6,none,NONE,NONE,1,active,retained_fielder
2019,2,kim---008san,Sang-su Kim,SAM,SAM,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,18,4.5,none,NONE,NONE,2,active,retained_fielder
2019,1,song--000gwa,Gwang-min Song,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,16,4,none,NONE,NONE,1,active,retained_fielder
2019,1,choi--000jin,Jin-haeng Choi,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"1,1",5,1,none,NONE,NONE,1,active,retained_fielder
2019,1,lee---001yon,Yong-gyu Lee,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"2,1",26,4,none,NONE,NONE,1,active,retained_fielder
2019,1,kim---008min,Min-seong Kim,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,18,3,none,NONE,NONE,1,active,retained_fielder
2020,1,lee---003ji-,Ji-yeong Lee,KIW,KIW,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,18,6,none,NONE,NONE,1,active,retained_fielder
2020,1,yu----000han,Han-jun Yoo,kt,kt,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,20,2,none,NONE,NONE,1,active,retained_fielder
2020,1,oh----000ji-,Ji-hwan Oh,LG,LG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,40,0,none,NONE,NONE,1,active,retained_fielder
2020,1,park--003sun,Seong-min Park,NC,NC,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"2,1",34,18,none,NONE,NONE,1,active,retained_fielder
2020,1,jun---000jun,Jun-u Jeon,LOT,LOT,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,34,2,none,NONE,NONE,1,active,retained_fielder
2020,2,kim---000gan,Gang-min Kim,SSG,SSG,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"1,1",10,1,none,NONE,NONE,2,active,retained_fielder
2020,1,kim---002seo,Seon-bin Kim,KIA,KIA,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,40,6,none,NONE,NONE,1,active,retained_fielder
2020,2,oh----001jae,Jae-won Oh,DOO,DOO,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,19,6,none,NONE,NONE,2,active,retained_fielder
2020,2,lee---003seo,Seong-yeol Lee,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,14,0,none,NONE,NONE,2,active,retained_fielder
2020,1,kim---003tae,Tae-gun Kim,NC,NC,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,13,4,none,NONE,NONE,1,active,retained_fielder
2020,3,kim---001tae,Tae-gyun Kim,HH,HH,retained,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,10,0,none,NONE,NONE,3,active,retained_fielder
2021,1,kim---014seo,Seong-hyeon Kim,SSG,SSG,retained,KBO_FA_APPROVED,A,"2,1",11,3,none,NONE,NONE,1,active,retained_fielder
2021,1,kim---002yon,Yong-ui Kim,LG,LG,retained,KBO_FA_APPROVED,C,1,2,0,none,NONE,NONE,1,active,retained_fielder
2021,1,heo---000kye,Gyeong-min Heo,DOO,DOO,retained,KBO_FA_APPROVED,A,"4,3",85,20,none,NONE,NONE,1,active,retained_fielder
2021,1,choi--000hyo,Hyeong-u Choi,KIA,KIA,retained,KBO_FA_APPROVED,B,3,47,7,none,NONE,NONE,1,active,retained_fielder
2021,1,jeong-000soo,Su-bin Jung,DOO,DOO,retained,KBO_FA_APPROVED,A,6,56,4,none,NONE,NONE,1,active,retained_fielder
2021,1,lee---004won,Won-seok Lee,SAM,SAM,retained,KBO_FA_APPROVED,B,"2,1",20,8,none,NONE,NONE,1,active,retained_fielder
2021,2,kim---007jae,Jae-ho Kim,DOO,DOO,retained,KBO_FA_APPROVED,B,3,25,0,none,NONE,NONE,2,active,retained_fielder
2021,2,lee---000dae,Dae-ho Lee,LOT,LOT,retained,KBO_FA_APPROVED,B,2,26,2,none,NONE,NONE,2,active,retained_fielder
2022,1,choi--000jae,Jae-hun Choi,HH,HH,retained,KBO_FA_APPROVED,B,5,54,5,none,NONE,NONE,1,active,retained_fielder
2022,1,kim---008jae,Jae-hwan Kim,DOO,DOO,retained,KBO_FA_APPROVED,A,4,115,5,none,NONE,NONE,1,active,retained_fielder
2022,1,kim---004hye,Hyeon-su Kim,LG,LG,retained,KBO_FA_APPROVED,B,"4,2",115,25,none,NONE,NONE,1,active,retained_fielder
2022,1,jang--001sun,Seong-u Jang,kt,kt,retained,KBO_FA_APPROVED,B,4,42,4,none,NONE,NONE,1,active,retained_fielder
2022,2,kang--001min,Min-ho Kang,SAM,SAM,retained,KBO_FA_APPROVED,C,4,36,4,none,NONE,NONE,2,active,retained_fielder
2022,1,hwang-001jae,Jae-gyun Hwang,kt,kt,retained,KBO_FA_APPROVED,B,4,60,6,none,NONE,NONE,1,active,retained_fielder
2022,1,jung--000hoo,Hun Jung,LOT,LOT,retained,KBO_FA_APPROVED,C,3,18,5,none,NONE,NONE,1,active,retained_fielder
2023,1,park--004min,Min-u Park,NC,NC,retained,KBO_FA_APPROVED,A,"5,3",140,50,none,NONE,NONE,1,active,retained_fielder
2023,1,oh----002seu,Tae-gon Oh,SSG,SSG,retained,KBO_FA_APPROVED,C,4,18,2,none,NONE,NONE,1,active,retained_fielder
2023,1,shin--000bon,Bon-gi Shin,kt,kt,retained,KBO_FA_APPROVED,C,"1,1",3,2,none,NONE,NONE,1,active,retained_fielder
2023,1,lee---000mye,Myeong-gi Lee,NC,NC,retained,KBO_FA_APPROVED,C,1,1,5,none,NONE,NONE,1,active,retained_fielder
2023,1,kwon--000hee,Hui-dong Kwon,NC,NC,retained,KBO_FA_APPROVED,B,1,1.25,3.5,none,NONE,NONE,1,active,retained_fielder
2024,2,jun---000jun,Jun-u Jeon,LOT,LOT,retained,KBO_FA_APPROVED,B,4,47,7,none,NONE,NONE,2,active,retained_fielder
2024,1,ko----000jon,Jong-uk Ko,KIA,KIA,retained,KBO_FA_APPROVED,C,2,5,1,none,NONE,NONE,1,active,retained_fielder
2024,1,yang--001seo,Seok-hwan Yang,DOO,DOO,retained,KBO_FA_APPROVED,A,"4,2",78,6,none,NONE,NONE,1,active,retained_fielder
2024,2,oh----000ji-,Ji-hwan Oh,LG,LG,retained,KBO_FA_APPROVED,B,6,124,24,none,NONE,NONE,2,active,retained_fielder
2024,2,kim---002seo,Seon-bin Kim,KIA,KIA,retained,KBO_FA_APPROVED,B,3,30,6,none,NONE,NONE,2,active,retained_fielder
2024,2,lee---003ji-,Ji-yeong Lee,KIW,KIW,retained,KBO_FA_APPROVED,B,2,4,0.5,none,NONE,NONE,2,active,retained_fielder
2024,1,kim---020min,Min-sik Kim,SSG,SSG,retained,KBO_FA_APPROVED,C,2,5,1,none,NONE,NONE,1,active,retained_fielder
2024,1,kang--000han,Han-ul Kang,SAM,SAM,retained,KBO_FA_APPROVED,C,"1,1",3,0.5,none,NONE,NONE,1,active,retained_fielder
2024,2,kim---008min,Min-seong Kim,LG,LG,retained,KBO_FA_APPROVED,B,"2,1",9,2,none,NONE,NONE,2,active,retained_fielder
2025,3,choi--000jeo,Jeong Choi,SSG,SSG,retained,KBO_FA_APPROVED,C,4,110,0,none,NONE,NONE,3,active,retained_fielder
2025,1,kim---002hun,Heon-gon Kim,SAM,SAM,retained,KBO_FA_APPROVED,C,2,6,2,none,NONE,NONE,1,active,retained_fielder
2025,1,ryu---000jee,Ji-hyeok Ryu,SAM,SAM,retained,KBO_FA_APPROVED,B,4,26,6,none,NONE,NONE,1,active,retained_fielder
2025,1,ha----000joo,Ju-seok Ha,HH,HH,retained,KBO_FA_APPROVED,B,1,1.1,0.2,none,NONE,NONE,1,active,retained_fielder
2025,1,seo---000geo,Geon-chang Seo,KIA,KIA,retained,KBO_FA_APPROVED,C,"1,1",5,1.6,none,NONE,NONE,1,active,retained_fielder
2025,1,kim---042seo,Seong-uk Kim,NC,NC,retained,KBO_FA_APPROVED,C,2,3,0.5,none,NONE,NONE,1,active,retained_fielder
2026,1,cho---000soo,Su-haeng Cho,DOO,DOO,retained,KBO_FA_APPROVED,B,4,16,2,none,NONE,NONE,1,active,retained_fielder
2026,1,park--000hae,Hae-min Park,LG,LG,retained,KBO_FA_APPROVED,B,4,65,5,none,NONE,NONE,1,active,retained_fielder
2026,3,kang--001min,Min-ho Kang,SAM,SAM,retained,KBO_FA_APPROVED,C,2,20,4,none,NONE,NONE,3,active,retained_fielder
2026,2,jang--001sun,Seong-u Jang,kt,kt,retained,KBO_FA_APPROVED,B,2,16,2,none,NONE,NONE,2,active,retained_fielder
2000,1,lee---001gan,Gang-cheol Lee,KIA,SAM,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,8,0,player_plus_cash,pak---000chu,Chung-sik Park,1,active,transfer_pitcher
2004,1,cho---001gyu,Gyu-je Cho,KIW,KIA,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,2,4.5,0,cash_only,NONE,NONE,1,active,transfer_pitcher
2004,1,jin---000pil,Pil-jung Jin,KIA,LG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,30,4,player_plus_cash,son---000ji-,Ji-hwan Son,1,active,transfer_pitcher
2004,1,lee---003san,Sang-mok Lee,HH,LOT,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,22,3,player_plus_cash,shin--000jon,Jong-gil Shin,1,active,transfer_pitcher
2007,1,park--000myu,Myeong-hwan Park,DOO,LG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,40,2,player_plus_cash,sin---000jae,Jae-ung Shin,1,active,transfer_pitcher
2012,1,lim---000gyo,Gyeong-wan Lim,LOT,SSG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,11,5,player_plus_cash,im----000hun,Hun Lim,1,active,transfer_pitcher
2012,2,lee---003seu,Seung-ho Lee,SSG,LOT,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,24,1,player_plus_cash,ho----000jun,Jun-hyeok Heo,2,active,transfer_pitcher
2012,1,chong-000tae,Dae-hyeon Jung,SSG,LOT,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,36,6,player_plus_cash,im----000hun,Hun Lim,1,active,transfer_pitcher
2012,1,song--000sin,Sin-yeong Song,LG,HH,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,13,UNKNOWN,player_plus_cash,na----001sun,Seong-yong Na,1,active,transfer_pitcher
2013,1,jeong-002hye,Hyeon-uk Jung,SAM,LG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,28.6,0,player_plus_cash,lee---010seu,Seung-u Lee,1,active,transfer_pitcher
2015,1,kwon--000hye,Hyeok Kwon,SAM,HH,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,32,4,player_plus_cash,kim---015min,Min-su Kim,1,active,transfer_pitcher
2015,1,chang-000won,Won-jun Jang,LOT,DOO,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,84,4,player_plus_cash,chung-000jae,Jae-hun Jung,1,active,transfer_pitcher
2015,2,song--000eun,Eun-beom Song,KIA,HH,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,34,4,player_plus_cash,lim---000ki-,Gi-yeong Lim,2,active,transfer_pitcher
2015,2,bae---000you,Yeong-su Bae,SAM,HH,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,21,0,player_plus_cash,jung--000hye,Hyeon-seung Jung,2,active,transfer_pitcher
2015,1,kim---001sa-,Sa-yul Kim,LOT,kt,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"3,1",14.5,5,cash_only,NONE,NONE,1,active,transfer_pitcher
2016,1,yun---000gil,Gil-hyeon Yoon,SSG,LOT,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,38,0,player_plus_cash,kim---002seu,Seung-hoe Kim,1,active,transfer_pitcher
2016,1,son---000seu,Seung-rak Son,KIW,LOT,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,60,0,cash_only,NONE,NONE,1,active,transfer_pitcher
2016,2,jeong-000woo,U-ram Jung,SSG,HH,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,84,0,player_plus_cash,kbo_64768,Yeong-u Cho,2,active,transfer_pitcher
2016,1,shim--000soo,Su-chang Sim,LOT,HH,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,13,0,player_plus_cash,park--001han,Han-Gil Park,1,active,transfer_pitcher
2017,3,wu----000gyu,Gyu-min Woo,LG,SAM,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,65,0,player_plus_cash,choi--001jae,Jae-won Choi,3,active,transfer_pitcher
2017,2,cha---000woo,U-chan Cha,SAM,LG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,95,15,player_plus_cash,lee---006seu,Seung-hyeon Lee,2,active,transfer_pitcher
2021,2,lee---000yon,Yong-chan Lee,DOO,NC,transfer,KBO_FA_APPROVED,A,"3,1",27,13,player_plus_cash,park--006jeo,Jeong-su Park,2,active,transfer_pitcher
2023,1,won---000jon,Jong-hyeon Won,NC,KIW,transfer,KBO_FA_APPROVED,C,4,25,0,cash_only,NONE,NONE,1,active,transfer_pitcher
2023,1,lee---003tae,Tae-yang Lee,SSG,HH,transfer,KBO_FA_APPROVED,C,4,25,0,cash_only,NONE,NONE,1,active,transfer_pitcher
2023,1,han---000hyu,Hyeon-hui Han,KIW,LOT,transfer,KBO_FA_APPROVED,A,"3,1",40,22,player_plus_cash,lee---000kan,Gang-jun Lee,1,active,transfer_pitcher
2024,1,kim---002jae,Jae-yun Kim,kt,SAM,transfer,KBO_FA_APPROVED,B,4,58,10,player_plus_cash,kbo_67419,Yong-ik Moon,1,active,transfer_pitcher
2024,1,lim---003cha,Chang-min Lim,KIW,SAM,transfer,KBO_FA_APPROVED,C,2,8,1,cash_only,NONE,NONE,1,active,transfer_pitcher
2025,1,eom---000san,Sang-baek Eom,kt,HH,transfer,KBO_FA_APPROVED,B,4,78,11,player_plus_cash,chang-003jin,Jin-hyeok Jang,1,active,transfer_pitcher
2025,1,jang--000hye,Hyeon-sik Jang,KIA,LG,transfer,KBO_FA_APPROVED,B,4,52,0,player_plus_cash,kang--001hyo,Hyo-jong Kang,1,active,transfer_pitcher
2025,1,choi--003won,Won-tae Choi,LG,SAM,transfer,KBO_FA_APPROVED,A,4,70,12,player_plus_cash,choi--002cha,Chae-heung Choi,1,active,transfer_pitcher
2025,1,kim---001gan,Gang-ryul Kim,DOO,LG,transfer,KBO_FA_APPROVED,C,"3,1",14,0,cash_only,NONE,NONE,1,active,transfer_pitcher
2026,1,kim---000bum,Beom-su Kim,HH,KIA,transfer,KBO_FA_APPROVED,B,2,5,12,player_plus_cash,yang--000suh,Su-ho Yang,1,active,transfer_pitcher
2026,2,hong--000keo,Geon-hui Hong,DOO,KIA,transfer,KBO_FA_APPROVED,NOT_GRADED,1,7,5,cash_only,NONE,NONE,2,active,transfer_pitcher
2000,2,kim---008don,Dong-su Kim,LG,SAM,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,8,0,player_plus_cash,kim---022san,Sang-yeop Kim,2,active,transfer_fielder
2001,1,hong--000hye,Hyeon-u Hong,KIA,LG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,18,0,player_plus_cash,chou--000ik-,Ik-seong Choi,1,active,transfer_fielder
2002,2,yang--000jun,Jun-hyeok Yang,LG,SAM,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,27.2,4,cash_only,NONE,NONE,2,active,transfer_fielder
2002,1,kim---007min,Min-jae Kim,LOT,SSG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,10,0,cash_only,NONE,NONE,1,active,transfer_fielder
2003,2,park--000kyu,Gyeong-wan Park,KIW,SSG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,19,0,player_plus_cash,cho---001gyu,Gyu-je Cho,2,active,transfer_fielder
2004,1,park--000jon,Jong-ho Park,KIW,SAM,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,22,4,player_plus_cash,no----000bye,Byeong-o Noh,1,active,transfer_fielder
2004,1,ma----000hae,Hae-yeong Ma,SAM,KIA,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,28,1,player_plus_cash,shin--000don,Dong-ju Shin,1,active,transfer_fielder
2004,1,jeong-002soo,Su-geun Jung,DOO,LOT,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,6,40.6,0,player_plus_cash,mun---000don,Dong-hwan Moon,1,active,transfer_fielder
2005,1,shim--000jeo,Jeong-su Sim,KIW,SAM,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,60,2,cash_only,NONE,NONE,1,active,transfer_fielder
2005,2,park--001jin,Jin-man Park,KIW,SAM,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,39,1,player_plus_cash,kbo_71433,Jeong-ho Lee,2,active,transfer_fielder
2005,2,kim---010jae,Jae-hyeon Kim,LG,SSG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,20.7,2,player_plus_cash,an----000jae,Jae-man Ahn,2,active,transfer_fielder
2006,2,kim---007min,Min-jae Kim,SSG,HH,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,14,1,player_plus_cash,jeong-000bye,Byeong-hui Jung,2,active,transfer_fielder
2009,2,jeong-002seo,Seong-hun Jung,KIW,LG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,"3,1",24,0,cash_only,NONE,NONE,2,active,transfer_fielder
2009,2,lee---000jin,Jin-yeong Lee,SSG,LG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,42,0,player_plus_cash,lee---004seu,Seung-ho Lee,2,active,transfer_fielder
2009,1,hong--000seo,Seong-heun Hong,DOO,LOT,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,30,0,player_plus_cash,lee---004won,Won-seok Lee,1,active,transfer_fielder
2011,2,lee---001bum,Beom-ho Lee,HH,KIA,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,1,12,0,player_plus_cash,an----000you,Yeong-myeong Ahn,2,active,transfer_fielder
2012,3,cho---001in-,In-seong Cho,LG,SSG,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,3,19,0,player_plus_cash,lim---000jun,Jeong-u Lim,3,active,transfer_fielder
2012,2,lee---004tae,Taek-geun Lee,LG,KIW,transfer,KBO_FA_APPROVED,PRE_GRADE_SYSTEM,4,50,1,player_plus_cash,yoon--000jee,Ji-ung Yoon,2,active,transfer_fielder
